symbol,tick_time,decision,reason,score,mid,bid,ask,session,price_position,fvg_high,fvg_low,fvg_side,fvg_filled,fvg_age_bars,atr_20_1m,atr_15_15m,prev_day_high,prev_day_low,current_session_high,current_session_low,prev_session_high,prev_session_low,session_boundary,n_confirmed_swing_highs_15m,n_confirmed_swing_lows_15m,fvg_timestamp,smc_trend_15m,hh_15m,ll_15m,strong_low_15m,strong_high_15m,bos_detected_15m,choch_detected_15m,bos_up_15m,bos_down_15m,choch_up_15m,choch_down_15m,is_swing_high_15m,is_swing_low_15m,market_bias_4h,liq_swept,liq_side
XAUUSD,2024-01-02 12:00:00.056000+07:00,HOLD,hold,,2069.7,2069.525,2069.875,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.108000+07:00,HOLD,hold,,2069.73,2069.545,2069.915,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.159000+07:00,HOLD,hold,,2069.76,2069.585,2069.935,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.260000+07:00,HOLD,hold,,2069.7615,2069.598,2069.925,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.361000+07:00,HOLD,hold,,2069.7415,2069.598,2069.885,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.412000+07:00,HOLD,hold,,2069.735,2069.585,2069.885,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.463000+07:00,HOLD,hold,,2069.71,2069.535,2069.885,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.564000+07:00,HOLD,hold,,2069.715,2069.535,2069.895,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.716000+07:00,HOLD,hold,,2069.73,2069.555,2069.905,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.767000+07:00,HOLD,hold,,2069.785,2069.605,2069.965,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:00.919000+07:00,HOLD,hold,,2069.7,2069.525,2069.875,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
XAUUSD,2024-01-02 12:00:02.678000+07:00,HOLD,hold,,2069.705,2069.525,2069.885,asian,,,,,False,0,0.26324545023582013,1.8484634866492455,2066.8805,2063.25,2064.5955000000004,2063.8105,,,True,1,2,,bull,2069.98,2062.4385,2064.0785,,True,False,,,,,,,neutral,True,high
