symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pips,exit_reason
XAUUSD,SHORT,2025-04-04 21:00:00.050000+07:00,2025-04-04 21:00:07.349000+07:00,3061.568,3060.875,0.693000000000211,6.93000000000211,trailing_stop
XAUUSD,SHORT,2025-04-04 21:15:00.110000+07:00,2025-04-04 21:16:21.062000+07:00,3048.548,3045.395,3.1529999999997926,31.529999999997926,trailing_stop
XAUUSD,SHORT,2025-04-04 21:30:00.186000+07:00,2025-04-04 21:31:31.189000+07:00,3047.398,3049.152,-1.7539999999999054,-17.539999999999054,trailing_stop
XAUUSD,SHORT,2025-04-04 21:45:00.011000+07:00,2025-04-04 21:46:16.237000+07:00,3042.495,3040.205,2.2899999999999636,22.899999999999636,trailing_stop
XAUUSD,SHORT,2025-04-04 22:00:00.094000+07:00,2025-04-04 22:00:43.639000+07:00,3038.065,3037.305,0.7600000000002183,7.600000000002183,trailing_stop
XAUUSD,SHORT,2025-04-04 22:15:00.027000+07:00,2025-04-04 22:15:26.853000+07:00,3043.855,3042.715,1.1399999999998727,11.399999999998727,trailing_stop
XAUUSD,SHORT,2025-04-04 22:30:00.007000+07:00,2025-04-04 22:30:43.797000+07:00,3025.948,3030.952,-5.00400000000036,-50.0400000000036,trailing_stop
XAUUSD,SHORT,2025-04-14 17:15:00.223000+07:00,2025-04-14 17:19:15.204000+07:00,3220.295,3219.465,0.8299999999999272,8.299999999999272,trailing_stop
XAUUSD,SHORT,2025-04-14 17:15:00.525000+07:00,2025-04-14 17:19:15.204000+07:00,3220.265,3219.465,0.7999999999997272,7.9999999999972715,trailing_stop
XAUUSD,SHORT,2025-04-14 20:00:00.071000+07:00,2025-04-14 20:00:02.313000+07:00,3206.575,3205.725,0.849999999999909,8.49999999999909,trailing_stop
XAUUSD,LONG,2025-04-16 14:00:00.055000+07:00,2025-04-16 14:01:04.196000+07:00,3292.135,3292.605,0.4699999999997999,4.699999999997999,trailing_stop
XAUUSD,LONG,2025-04-16 14:15:00.039000+07:00,2025-04-16 14:17:17.997000+07:00,3297.495,3293.185,-4.309999999999945,-43.099999999999454,trailing_stop
XAUUSD,LONG,2025-04-16 14:30:00.069000+07:00,2025-04-16 14:49:33.495000+07:00,3297.551,3298.485,0.9340000000001965,9.340000000001965,trailing_stop
XAUUSD,LONG,2025-04-16 14:49:33.495000+07:00,2025-04-16 14:51:59.338000+07:00,3299.125,3299.905,0.7800000000002001,7.800000000002001,trailing_stop
XAUUSD,LONG,2025-04-16 15:00:00.097000+07:00,2025-04-16 15:02:37.106000+07:00,3300.875,3301.695,0.8200000000001637,8.200000000001637,trailing_stop
XAUUSD,LONG,2025-04-16 22:30:00.028000+07:00,2025-04-16 22:30:43.636000+07:00,3314.375,3314.095,-0.2800000000002001,-2.800000000002001,trailing_stop
XAUUSD,LONG,2025-04-16 22:45:00.128000+07:00,2025-04-16 22:45:54.090000+07:00,3322.345,3323.235,0.8900000000003274,8.900000000003274,trailing_stop
XAUUSD,LONG,2025-04-21 14:00:00.071000+07:00,2025-04-21 14:01:33.130000+07:00,3392.395,3392.875,0.4800000000000182,4.800000000000182,trailing_stop
XAUUSD,LONG,2025-04-21 17:00:00.102000+07:00,2025-04-21 17:15:28.762000+07:00,3395.285,3396.095,0.8099999999999454,8.099999999999454,trailing_stop
XAUUSD,LONG,2025-04-21 18:30:00.052000+07:00,2025-04-21 18:30:16.932000+07:00,3393.155,3394.215,1.0599999999999454,10.599999999999454,trailing_stop
XAUUSD,LONG,2025-04-21 18:45:00.201000+07:00,2025-04-21 18:49:57.176000+07:00,3404.035,3403.435,-0.599999999999909,-5.9999999999990905,trailing_stop
XAUUSD,LONG,2025-04-21 19:00:00.065000+07:00,2025-04-21 19:01:10.906000+07:00,3404.845,3405.205,0.36000000000012733,3.6000000000012733,trailing_stop
XAUUSD,LONG,2025-04-21 19:15:00.159000+07:00,2025-04-21 19:18:05.828000+07:00,3403.055,3403.975,0.9200000000000728,9.200000000000728,trailing_stop
XAUUSD,LONG,2025-04-21 19:30:00.835000+07:00,2025-04-21 19:31:21.860000+07:00,3398.651,3399.895,1.2440000000001419,12.440000000001419,trailing_stop
