symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pips,exit_reason
XAUUSD,LONG,2025-03-11 14:45:00.526000+07:00,2025-03-11 14:46:29.637000+07:00,2899.995,2900.585,0.5900000000001455,5.900000000001455,trailing_stop
XAUUSD,LONG,2025-03-11 14:45:00.224000+07:00,2025-03-11 14:46:33.927000+07:00,2899.985,2900.445,0.4600000000000364,4.600000000000364,trailing_stop
XAUUSD,LONG,2025-03-11 14:46:29.637000+07:00,2025-03-11 14:48:00.121000+07:00,2901.045,2900.945,-0.09999999999990905,-0.9999999999990905,trailing_stop
XAUUSD,LONG,2025-03-11 15:00:00.093000+07:00,2025-03-11 15:06:29.434000+07:00,2901.455,2901.718,0.26299999999991996,2.6299999999991996,trailing_stop
XAUUSD,LONG,2025-03-11 15:00:00.145000+07:00,2025-03-11 15:06:29.434000+07:00,2901.455,2901.718,0.26299999999991996,2.6299999999991996,trailing_stop
XAUUSD,LONG,2025-03-11 15:15:01.089000+07:00,2025-03-11 15:17:42.843000+07:00,2904.575,2905.095,0.5199999999999818,5.199999999999818,trailing_stop
XAUUSD,LONG,2025-03-11 15:15:01.190000+07:00,2025-03-11 15:17:42.843000+07:00,2904.575,2905.095,0.5199999999999818,5.199999999999818,trailing_stop
XAUUSD,LONG,2025-03-11 15:30:00.096000+07:00,2025-03-11 15:43:25.847000+07:00,2907.635,2908.275,0.6399999999998727,6.399999999998727,trailing_stop
XAUUSD,LONG,2025-03-11 15:30:00.197000+07:00,2025-03-11 15:43:25.847000+07:00,2907.635,2908.275,0.6399999999998727,6.399999999998727,trailing_stop
XAUUSD,LONG,2025-03-11 15:45:00.081000+07:00,2025-03-11 15:48:34.514000+07:00,2909.425,2907.535,-1.8900000000003274,-18.900000000003274,trailing_stop
XAUUSD,LONG,2025-03-11 15:45:00.484000+07:00,2025-03-11 15:48:34.514000+07:00,2909.425,2907.535,-1.8900000000003274,-18.900000000003274,trailing_stop
XAUUSD,LONG,2025-03-11 16:00:00.653000+07:00,2025-03-11 16:07:21.698000+07:00,2910.305,2910.875,0.5700000000001637,5.700000000001637,trailing_stop
XAUUSD,LONG,2025-03-11 16:00:00.295000+07:00,2025-03-11 16:07:27.001000+07:00,2910.315,2910.735,0.42000000000007276,4.200000000000728,trailing_stop
XAUUSD,LONG,2025-03-11 16:15:00.020000+07:00,2025-03-11 16:30:05.488000+07:00,2910.455,2910.855,0.40000000000009095,4.0000000000009095,trailing_stop
XAUUSD,LONG,2025-03-11 16:07:21.698000+07:00,2025-03-11 16:46:11.759000+07:00,2911.235,2911.785,0.5499999999997272,5.4999999999972715,trailing_stop
XAUUSD,LONG,2025-03-11 16:30:05.488000+07:00,2025-03-11 16:47:21.194000+07:00,2911.345,2911.595,0.25,2.5,trailing_stop
XAUUSD,LONG,2025-03-11 16:47:21.194000+07:00,2025-03-11 17:03:35.693000+07:00,2912.025,2912.165,0.13999999999987267,1.3999999999987267,trailing_stop
XAUUSD,LONG,2025-03-11 17:03:35.693000+07:00,2025-03-11 17:26:15.055000+07:00,2912.605,2913.245,0.6399999999998727,6.399999999998727,trailing_stop
XAUUSD,LONG,2025-03-11 16:46:11.759000+07:00,2025-03-11 17:26:22.305000+07:00,2912.265,2913.215,0.9500000000002728,9.500000000002728,trailing_stop
